1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
CBO Ocupação;;;;;;;;;;;;;;;;;;;;;;;;;
Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;;;;;;;;;;;;;
Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador
Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento
Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab
Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1
;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;;;;;;;;;;;;;;;;
;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe
;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica
;;;;;;;;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples
;;;;;;;;;;;;;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005;Escolaridade após 2005
;;;;;;;;;;;;;;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo;arranjo
;;;;;;;;;;;;;;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese;territorio_tese
;;;;;;;;;;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002;CBO Ocupação 2002
;;;;;;;;;;;;;;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services;knowledge_services
;;;;;;;;;;;;;;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries;technology_industries
;;;;;;;;;;;;;;potec;potec;potec;potec;potec;potec;potec;potec;potec;potec;potec;potec
